Keyword,Search Volume,Keyword Difficulty,Position,Previous position,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
party invitation template,4400,70,51,0,0.84,https://www.psprint.com/resources/make-party-invitations-easy/,0,0,0,1,169000000,"[55,44,36,36,36,55,67,100,82,82,82,82]",2021-12-14,"Image pack, Reviews, Shopping ads, Video Carousel, FAQ",commercial
usps printing,3600,82,74,74,2.7,https://www.psprint.com/layout-templates/direct-mail/envelopes-printing/,0,0,0,0.32,11600000,"[100,100,100,81,81,100,100,100,81,81,81,81]",2021-12-09,"Reviews, Video, People also ask","navigational, transactional"
business card magnets,3600,58,46,46,2.99,https://www.psprint.com/resources/where-to-place-your-business-card-magnets/,1,0,3,1,45400000,"[66,66,66,82,66,82,82,66,82,82,100,82]",2021-12-09,"Reviews, Shopping ads, Video Carousel",transactional
digital birthday cards,3600,85,97,97,1.66,https://www.psprint.com/design-templates/greeting-cards/~~~~~~birthday,0,0,0,1,1030000000,"[82,82,82,100,100,100,82,82,66,82,82,82]",2021-12-09,"Image pack, Site links, Reviews, Video, AdWords top, People also ask",commercial
high res images,3600,78,30,30,3.07,https://www.psprint.com/resources/how-to-check-your-image-resolution/,5,0,16,0.17,1370000000,"[82,66,66,82,82,100,82,82,82,66,82,82]",2021-12-09,"Image pack, Site links, Video, People also ask","commercial, informational"
label stickers,3600,75,42,42,2.44,https://www.psprint.com/design-templates/stickers-labels/,1,0,2,1,2130000000,"[81,100,81,67,100,81,67,67,67,67,67,54]",2021-12-09,"Image pack, Site links, Reviews, Video, Image, Shopping ads",transactional
print address labels,3600,66,98,98,1.3,https://www.psprint.com/resources/how-to-design-address-labels/,0,0,0,1,430000000,"[36,54,100,44,36,44,44,36,36,36,36,36]",2021-12-09,"Site links, Reviews, Video, Shopping ads, People also ask",transactional
business card paper,3600,59,26,26,1.86,https://www.psprint.com/resources/comparing-business-card-paper-stocks/,5,0,10,1,5260000000,"[67,100,67,54,54,67,54,67,54,54,67,54]",2021-12-09,"Reviews, Shopping ads, Video Carousel, People also ask, FAQ","informational, transactional"
real estate postcards,3600,60,17,17,8.49,https://www.psprint.com/design-templates/postcards/~~~~real_estate,14,0.01,122,1,11300000,"[82,66,66,100,100,100,82,82,82,66,82,66]",2021-12-10,"Image pack, Reviews, Video, People also ask",commercial
letterhead sample,3600,71,2,2,1.43,https://www.psprint.com/design-templates/letterhead/,468,0.61,669,1,30600000,"[100,100,66,82,82,100,82,66,66,66,66,66]",2021-12-09,"Image pack, Site links, Reviews, Video, Shopping ads, Video Carousel, People also ask","commercial, informational"
personalized bookmarks,3600,58,75,75,0.75,https://www.psprint.com/bookmarks,0,0,0,1,0,"[44,82,100,44,44,36,36,55,67,67,44,44]",2021-12-10,"Carousel, Image pack, Reviews, People also ask, FAQ",transactional
cheap stickers,3600,64,18,18,2.7,https://www.psprint.com/stickers-labels,10,0.01,29,1,3450000000,"[100,82,82,100,82,82,82,66,66,82,82,100]",2021-12-09,"Site links, Reviews, Video, AdWords top, AdWords bottom, FAQ",commercial
magnetic business cards,3600,56,35,35,2.99,https://www.psprint.com/resources/where-to-place-your-business-card-magnets/,2,0,7,1,38000000,"[66,66,66,82,66,82,82,66,82,82,100,82]",2021-12-09,"Reviews, Image, Shopping ads, Video Carousel",transactional
congratulation card,3600,63,92,92,0.79,https://www.psprint.com/design-templates/greeting-cards/,0,0,0,1,12700000,"[55,55,55,44,44,55,67,100,82,55,55,55]",2021-12-08,"Image pack, Site links, Reviews, Video, Shopping ads, People also ask","commercial, informational"
desktop calendar,3600,58,71,71,1.27,https://www.psprint.com/calendars/category,0,0,0,1,2190000000,"[67,82,100,82,44,44,36,36,36,44,67,55]",2021-12-08,"Image pack, Site links, Reviews, Shopping ads, People also ask",commercial
rack card,3600,44,41,41,4.57,https://www.psprint.com/rack-cards,1,0,4,1,200000000,"[81,67,67,81,81,100,100,100,100,100,100,100]",2021-12-09,"Image pack, Reviews, Video, Image, People also ask",transactional
custom sticker maker,2900,77,22,22,2.02,https://www.psprint.com/design-templates/stickers-labels/,4,0,8,1,16000000,"[81,81,81,100,81,81,81,81,81,81,81,81]",2021-12-09,"Site links, Reviews, Video Carousel, People also ask, FAQ",transactional
custom greeting cards,2900,68,27,27,2.61,https://www.psprint.com/greeting-cards,4,0,11,1,183000000,"[67,81,100,67,54,54,44,54,44,35,44,44]",2021-12-09,"Image pack, Site links, Reviews, Image, Shopping ads, FAQ",transactional
2021 desk calendar,2900,58,68,68,0.48,https://www.psprint.com/layout-templates/desk-calendars-printing/,0,0,0,1,892000000,"[36,67,100,82,13,9,9,6,6,6,6,5]",2021-12-10,"Image pack, Site links, Reviews, Video, Image, FAQ",transactional
circle stickers,2900,48,47,47,3.44,https://www.psprint.com/design-templates/stickers-labels/~~horizontal_circle-vertical_circle,0,0,2,1,529000000,"[83,83,83,100,83,100,100,83,100,83,100,100]",2021-12-10,"Image pack, Reviews, Video, Image, Shopping ads, People also ask",transactional
color printing paper,2900,52,35,35,0.78,https://www.psprint.com/business-cards/colored-paper-cards,2,0,1,0.89,408000000,"[30,100,67,35,35,30,24,54,67,67,54,44]",2021-12-11,"Site links, Reviews, Video, Image, People also ask, FAQ",commercial
template maker,2900,70,57,57,1.17,https://www.psprint.com/design-templates/business-cards/,0,0,0,0.37,1540000000,"[81,81,81,81,81,81,81,81,81,81,100,100]",2021-12-10,"Image pack, Site links, Reviews, Video, AdWords top",commercial
invitation text,2900,66,16,16,0.78,https://www.psprint.com/resources/business-invitation-wording-examples/,14,0.01,11,1,365000000,"[66,43,36,43,43,66,82,100,100,100,82,82]",2021-12-10,"Image pack, Site links, Reviews, Video, Shopping ads, People also ask",commercial
invitation text,2900,66,17,17,0.78,https://www.psprint.com/resources/cocktail-party-invitation-wording-ideas/,11,0.01,9,1,365000000,"[66,43,36,43,43,66,82,100,100,100,82,82]",2021-12-10,"Image pack, Site links, Reviews, Video, Shopping ads, People also ask",commercial
car sticker design,2900,61,23,23,0.65,https://www.psprint.com/resources/how-to-design-your-own-bumper-stickers/,4,0,2,1,974000000,"[67,67,53,67,53,100,81,81,81,81,81,81]",2021-12-10,"Image pack, Site links, Reviews, Image","informational, transactional"
thank you note template,2900,80,55,55,0.66,https://www.psprint.com/design-templates/greeting-cards/~~~~~~thank_you,0,0,0,1,520000000,"[100,100,100,82,55,55,55,66,66,55,55,43]",2021-12-09,"Image pack, Site links, Reviews, Video, People also ask","commercial, informational"
cool bookmarks,2900,37,61,61,0.2,https://www.psprint.com/resources/cool-design-ideas-for-bookmarks/,0,0,0,1,454000000,"[55,82,82,82,66,55,55,66,82,100,66,66]",2021-12-10,"Image pack, Reviews, Image, Video Carousel, People also ask","commercial, informational"
business holiday cards,2900,66,60,60,8.78,https://www.psprint.com/greeting-cards/flat-holiday-cards,0,0,2,0.94,3010000000,"[36,100,82,2,1,1,1,1,3,4,5,11]",2021-12-09,"Image pack, Reviews, Image, AdWords top, People also ask, FAQ",commercial
free birthday invitation templates,2900,70,43,43,0.59,https://www.psprint.com/design-templates/invitation-cards/~~~~~~birthday,0,0,0,1,97,"[30,19,16,30,30,54,67,67,67,81,81,100]",2021-12-10,"Image pack, Site links, Reviews, AdWords top, FAQ",commercial
card creator,2900,67,86,86,1.1,https://www.psprint.com/design-templates/business-cards/,0,0,0,1,811000000,"[66,66,100,66,82,66,66,82,66,55,55,55]",2021-12-09,"Reviews, AdWords top, Video Carousel",commercial
wedding ceremony program,2900,65,24,24,1.68,https://www.psprint.com/resources/wedding-program-content-guide/,4,0,7,1,75800000,"[43,23,23,36,36,55,82,82,100,100,100,100]",2021-12-10,"Image pack, Site links, Reviews, AdWords top, Shopping ads, Video Carousel, People also ask, FAQ","commercial, informational"
custom folders,2900,57,98,98,5.55,https://www.psprint.com/pocket-folders,0,0,0,1,127000000,"[83,66,83,100,100,100,100,83,100,100,100,100]",2021-12-09,"Image pack, Site links, Reviews, Image, Shopping ads",transactional
indesign templates,2900,66,62,62,2.97,https://content.psprint.com/layout-templates/brochures-printing/~indesign~11x17/,0,0,0,0.33,41100000,"[100,100,100,100,100,100,100,100,83,66,66,66]",2021-12-09,"Site links, Reviews, AdWords top, Video Carousel, People also ask",commercial
thanksgiving invitation,2900,51,67,67,0.89,https://www.psprint.com/resources/design-and-print-your-own-thanksgiving-invitation-cards/,0,0,0,1,33700000,"[30,100,3,3,3,3,2,2,1,2,3,11]",2021-12-09,"Image pack, Site links, Reviews, Image, Shopping ads, People also ask, FAQ","commercial, informational"
cd jewel case,2900,51,80,80,0.49,https://www.psprint.com/resources/cd-jewel-case-printing-tips/,0,0,0,1,15700000,"[100,100,100,100,100,100,100,100,100,100,100,100]",2021-12-10,"Site links, Reviews, Image, Video Carousel, People also ask",commercial
custom book printing,2900,56,81,81,4.32,https://www.psprint.com/booklets/category,0,0,0,0.74,233000000,"[55,82,82,66,66,55,43,82,100,100,66,66]",2021-12-10,"Site links, Reviews, AdWords top, AdWords bottom, Shopping ads, FAQ",commercial
